english,icelandic,pos,definition_en,definition_is,status,source,alternatives,category,chapter,notes
absolute zero,alkul,,temperature at which the volume of a gas would be zero according to Charles’s law.,hitastig þar sem rúmmál gass yrði núll samkvæmt lögmáli Charles.,approved,chemistry-society-csv,,other,9,
absorbtion,gleypni,,,,approved,chemistry-society-csv,,other,,
accuracy,hittni,,how closely a measurement aligns with a correct value,hversu nálægt mæling er réttu gildi,approved,chemistry-society-csv,nákvæmni,other,1,
achiral,óhendinn,,,,approved,chemistry-society-csv,,other,,
acid,sýra,,substance that produces H3O+ when dissolved in water,efni sem myndar H3O+ þegar það er leyst upp í vatni,approved,chemistry-society-csv,,acids-bases,4,
acid anhydride,sýruanhýdríð,,compound that reacts with water to form an acid or acidic solution,,approved,chemistry-society-csv,,other,18,
acid dissociation constant,sýrufasti,,,,approved,chemistry-society-csv,,other,,
acid ionization,,,"reaction involving the transfer of a proton from an acid to water, yielding hydronium ions and the conjugate base of the acid",,needs_review,openstax-glossary,,other,14,
acid-base indicator,,,weak acid or base whose conjugate partner imparts a different solution color; used in visual assessments of solution pH,,needs_review,openstax-glossary,,other,14,
acid-base reaction,sýru-basa hvarf,,reaction involving the transfer of a hydrogen ion between reactant species,hvarf sem felur í sér flutning vetnisjónar milli hvarfefna,proposed,openstax-mt,,other,4,
acidic,súr,,a solution in which [H3O+] > [OH−],,approved,chemistry-society-csv,,other,14,
acidity,sýrustig,,,,approved,chemistry-society-csv,,other,,
actinide,aktiníð,,inner transition metal in the bottom of the bottom two rows of the periodic table,innri hliðarmálmur í neðri af tveimur neðstu röðum lotukerfisins,approved,chemistry-society-csv,,other,2,
actinide series,,,"(also, actinoid series) actinium and the elements in the second row or the f-block, atomic numbers 89–103",,needs_review,openstax-glossary,,other,19,
actinides,aktiníðar,,,,approved,chemistry-society-csv,,other,,
activated complex,virkjaður flóki,,"(also, transition state) unstable combination of reactant species formed during a chemical reaction","(einnig, virkniástand) óstöðug samsetning hvarfefnategunda sem myndast við efnahvarf",proposed,openstax-mt,,other,12,
activation energy,virkjunarorka,,,,approved,chemistry-society-csv,,reactions,,
virkjunarorka (Ea),virkjunarorka (Ea),,,lágmarksorka sem er nauðsynleg til að hvarf geti átt sér stað,proposed,openstax-mt,,other,12,
