basename	artwork_path	staged_pdf_recipe_or_pdf	bought	classes_present
CNX_Chem_01_01_ChemWeb	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_01_ChemWeb.pdf	pdf	0	persistent-gstate
CNX_Chem_01_01_Electrolys	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_01_Electrolys.pdf	pdf	0	persistent-gstate
CNX_Chem_01_01_FuelCell	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_01_FuelCell.pdf	pdf	0	persistent-gstate
CNX_Chem_01_01_SciMethod	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_01_SciMethod.pdf	pdf	0	persistent-gstate
CNX_Chem_01_01_WaterDom	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_01_WaterDom.pdf	pdf	0	persistent-gstate
CNX_Chem_01_02_CellPhone	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_02_CellPhone.pdf	pdf	0	persistent-gstate
CNX_Chem_01_02_Cellulose	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_02_Cellulose.pdf	pdf	0	persistent-gstate
CNX_Chem_01_02_ConsMatter	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_02_ConsMatter.pdf	pdf	0	persistent-gstate
CNX_Chem_01_02_GoldAtoms	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_02_GoldAtoms.pdf	pdf	0	persistent-gstate
CNX_Chem_01_02_MattType	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_02_MattType.pdf	pdf	0	persistent-gstate
CNX_Chem_01_02_Mixtures	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_02_Mixtures.pdf	pdf	0	persistent-gstate
CNX_Chem_01_02_Molecules	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_02_Molecules.pdf	pdf	0	persistent-gstate
CNX_Chem_01_02_StatesMatt	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_02_StatesMatt.pdf	pdf	0	persistent-gstate
CNX_Chem_01_03_ChemChange	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_03_ChemChange.pdf	pdf	0	persistent-gstate
CNX_Chem_01_03_HazDiamond	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_03_HazDiamond.pdf	pdf	0	persistent-gstate
CNX_Chem_01_03_PeriodicPU	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_03_PeriodicPU.pdf	pdf	0	persistent-gstate
CNX_Chem_01_03_PhysChange	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_03_PhysChange.pdf	pdf	0	persistent-gstate
CNX_Chem_01_03_Rust	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_03_Rust.pdf	pdf	0	persistent-gstate
CNX_Chem_01_04_Volume	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/_preptest/CNX_Chem_01_04_Volume.pdf	pdf	0	persistent-gstate
CNX_Chem_01_05_Archer2_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/_preptest/CNX_Chem_01_05_Archer2_img.pdf	pdf	0	persistent-gstate
CNX_Chem_01_05_Archery	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_05_Archery.pdf	pdf	0	persistent-gstate
CNX_Chem_01_05_Measure	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_05_Measure.pdf	pdf	0	persistent-gstate
CNX_Chem_01_05_SigDigits1_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_05_SigDigits1_img.pdf	pdf	0	persistent-gstate
CNX_Chem_01_05_SigDigits2_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_01/Source_File/CNX_Chem_01_05_SigDigits2_img.pdf	pdf	0	persistent-gstate
