group	basename	artwork	status	blocks_sha256	blocks	sendable	glyphRepairs	glyphUnrepaired
bought	CNX_Chem_03_01_alsulfatemass_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_alsulfatemass_img.pdf	ok	e41193e1aef1d2af4e9ab4eb924334f1ad81a50dc732db4ebe7f3c4f1871d862	24	5	[]	[]
bought	CNX_Chem_03_01_aspirin	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Ch03_SourceFiles/CNX_Chem_03_01_aspirin.eps	ok	3d4c55ce4401b8d4ec1d4c142343afb7f9d14a6d9de5b324be4feb4350886db8	24	5	[]	[]
bought	CNX_Chem_03_01_brain-ec0b	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_brain.pdf	ok	788c9d0055b58515f1a7405251a9e7752188c106abdfe93626919117978b9989	3	1	[]	[]
bought	CNX_Chem_03_01_chloroform	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_chloroform.pdf	ok	c954d79212d3606dacde299eebcd7a340f9cbb4f358ea24dd4cbf130902d4e1e	24	5	[]	[]
bought	CNX_Chem_03_01_exocytosis-88f6	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_exocytosis.pdf	ok	465f864d25bc7465518f65eedd6dd295546cee4fd2ebd22be8995818c69c8881	7	5	[]	[]
bought	CNX_Chem_03_01_glycinemass_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_glycinemass_img.pdf	ok	2f61148bbd69d4f286f34613edb68eaaa71e970ee64f5f435c628cc26b9d1ead	30	5	[]	[]
bought	CNX_Chem_03_01_saltMass	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_saltMass.pdf	ok	678c1eb1257d59a8ebde0fe8fdec5c5bfb30c861665e61babe58e4bbb34771fd	18	5	[]	[]
bought	CNX_Chem_03_02_argon_img-9025	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch03_Color Contrast_Modified_SourceFiles/CNX_Chem_03_02_argon_img.eps	ok	d858ab5875afe11fc53dc564bd96a5f22c5d453d6b0f14ec93b183ed355c884e	3	3	[]	[]
bought	CNX_Chem_03_02_copperMoles_img-a962	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch03_Color Contrast_Modified_SourceFiles/CNX_Chem_03_02_copperMoles_img.eps	ok	482c54b4c107d5d4d2af1a6a4839f6908bbd4ab1651cfc1151914ec665d5e427	5	5	[]	[]
bought	CNX_Chem_03_02_glycine_img-7c96	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch03_Color Contrast_Modified_SourceFiles/CNX_Chem_03_02_glycine_img.eps	ok	ecba36336e27ebbeb7338be3756bc42d7b5fdc0ac121f3b8e8060c285fafbb27	3	3	[]	[]
bought	CNX_Chem_03_02_potassium_img-f1d1	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch03_Color Contrast_Modified_SourceFiles/CNX_Chem_03_02_potassium_img.eps	ok	a2fb7527dc1a7aa2befc0037c74931e33be0e7cfe7f12f68115564921bfbde2d	3	3	[]	[]
bought	CNX_Chem_03_02_sacch_img-3278	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch03_Color Contrast_Modified_SourceFiles/CNX_Chem_03_02_sacch_img.eps	ok	19c0fcda40dc0209f03e9f352352bb07e9b34b2a1c136bf2fed71b5ae76d04cd	5	5	[]	[]
bought	CNX_Chem_03_02_vitC_img-e537	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch03_Color Contrast_Modified_SourceFiles/CNX_Chem_03_02_vitC_img.eps	ok	3e4d6c6fe4e2826e5d3216b533388d31f016bb3993361923ba530ffc29cedd1e	3	3	[]	[]
bought	CNX_Chem_03_03_empform	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_03_empform.pdf	ok	9f16d3bb993949d392cce7abe81834c476696c562b76c22e577f498cce2f2d33	10	10	[]	[]
bought	CNX_Chem_03_05_Example2_img	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch03_Color Contrast_Modified_SourceFiles/CNX_Chem_03_05_Example2_img.eps	ok	13e3a7ea454586e0668fb8c3da03fb0bd817ae719185259f267ecc211b0bad18	5	5	[]	[]
bought	CNX_Chem_04_01_basehyd_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_01_basehyd_img.pdf	ok	4af0b9521f383a14270aab0dd8a7bb784368ba7780ed46f133836f26eb1e60db	26	1	[]	[]
bought	CNX_Chem_04_01_rxn2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_01_rxn2.pdf	ok	bb6ebf09990a6412e63a364d2b1b58c9e0e9147ccc99cf7e72ed49ca821b60aa	16	8	[]	[]
bought	CNX_Chem_04_01_rxn3	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_01_rxn3.pdf	ok	71d7d7c84af858da2b27f01ffb59589f5d0f0796c3fab9cceff4f0bd80cb4b86	2	2	[]	[]
bought	CNX_Chem_04_02_HClsoln	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_02_HClsoln.pdf	ok	4a82217342c87b72c30dd2bad7e20760cc4bc5773129d456914339b132b95feb	9	3	[]	[]
