english,icelandic,alternatives,category,notes,definition_en,definition_is
Aufbau principle,,,other,,"procedure in which the electron configuration of the elements is determined by “building” them in order of atomic numbers, adding one proton to the nucleus and one electron to the proper subshell at a time",
Bohr’s model of the hydrogen atom,,,other,,"structural model in which an electron moves around the nucleus only in circular orbits, each with a specific allowed radius",
Born-Haber cycle,,,other,,thermochemical cycle relating the various energetic steps involved in the formation of an ionic solid from the relevant elements,
Bragg equation,,,other,,equation that relates the angles at which X-rays are diffracted by the atoms within a crystal,
Brønsted-Lowry acid,,,other,,proton donor,
Brønsted-Lowry base,,,other,,proton acceptor,
Clausius-Clapeyron equation,,,other,,"mathematical relationship between the temperature, vapor pressure, and enthalpy of vaporization for a substance",
Dalton (Da),,,other,,alternative unit equivalent to the atomic mass unit,
Downs cell,,,other,,electrochemical cell used for the commercial preparation of metallic sodium (and chlorine) from molten sodium chloride,
Fahrenheit,,,other,,unit of temperature; water freezes at 32 °F and boils at 212 °F on this scale,
Faraday’s constant (F),,,other,,"charge on 1 mol of electrons; F = 96,485 C/mol e−",
Frasch process,,,other,,important in the mining of free sulfur from enormous underground deposits,
Geiger counter,,,other,,instrument that detects and measures radiation via the ionization produced in a Geiger-Müller tube,
Haber process,,,other,,main industrial process used to produce ammonia from nitrogen and hydrogen; involves the use of an iron catalyst and elevated temperatures and pressures,
Hall–Héroult cell,,,other,,electrolysis apparatus used to isolate pure aluminum metal from a solution of alumina in molten cryolite,
Heisenberg uncertainty principle,,,other,,rule stating that it is impossible to exactly determine both certain conjugate dynamical properties such as the momentum and the position of a particle at the same time. The uncertainty principle is a consequence of quantum particles exhibiting wave–particle duality,
Henderson-Hasselbalch equation,,,other,,"logarithmic version of the acid ionization constant expression, conveniently formatted for calculating the pH of buffer solutions",
Henry’s law,,,other,,the proportional relationship between the concentration of dissolved gas in a solution and the partial pressure of the gas in contact with the solution,
Hund’s rule,,,other,,"every orbital in a subshell is singly occupied with one electron before any one orbital is doubly occupied, and all electrons in singly occupied orbitals have the same spin",
Lewis acid,,,other,,any species that can accept a pair of electrons and form a coordinate covalent bond,
Lewis acid-base adduct,,,other,,compound or ion that contains a coordinate covalent bond between a Lewis acid and a Lewis base,
Lewis acid-base chemistry,,,other,,reactions involving the formation of coordinate covalent bonds,
Lewis base,,,other,,any species that can donate a pair of electrons and form a coordinate covalent bond,
Lewis structure,,,other,,diagram showing lone pairs and bonding pairs of electrons in a molecule or an ion,
Lewis symbol,,,other,,symbol for an element or monatomic ion that uses a dot to represent each valence electron in the element or ion,
Nernst equation,,,other,,relating the potential of a redox system to its composition,
Ostwald process,,,other,,industrial process used to convert ammonia into nitric acid,
Pidgeon process,,,other,,chemical reduction process used to produce magnesium through the thermal reaction of magnesium oxide with silicon,
Raoult’s law,,,other,,the relationship between a solution’s vapor pressure and the vapor pressures and concentrations of its components,
Tyndall effect,,,other,,scattering of visible light by a colloidal dispersion,
X-ray crystallography,,,other,,experimental technique for determining distances between atoms in a crystal by measuring the angles at which X-rays are diffracted when passing through the crystal,
acid ionization,,,other,,"reaction involving the transfer of a proton from an acid to water, yielding hydronium ions and the conjugate base of the acid",
acid-base indicator,,,other,,weak acid or base whose conjugate partner imparts a different solution color; used in visual assessments of solution pH,
actinide series,,,other,,"(also, actinoid series) actinium and the elements in the second row or the f-block, atomic numbers 89–103",
active electrode,,,other,,electrode that participates as a reactant or product in the oxidation-reduction reaction of an electrochemical cell; the mass of an active electrode changes during the oxidation-reduction reaction,
addition reaction,,,other,,reaction in which a double carbon-carbon bond forms a single carbon-carbon bond by the addition of a reactant. Typical reaction for an alkene.,
adhesive force,,,other,,force of attraction between molecules of different chemical identities,
alcohol,,,other,,organic compound with a hydroxyl group (–OH) bonded to a carbon atom,
aldehyde,,,other,,organic compound containing a carbonyl group bonded to two hydrogen atoms or a hydrogen atom and a carbon substituent,
alkaline battery,,,other,,"primary battery similar to a dry cell that uses an alkaline (often potassium hydroxide) electrolyte; designed to be an improved replacement for the dry cell, but with more energy storage and less electrolyte leakage than typical dry cell",
alkane,,,other,,molecule consisting of only carbon and hydrogen atoms connected by single (σ) bonds,
alkene,,,other,,molecule consisting of carbon and hydrogen containing at least one carbon-carbon double bond,
alkyl group,,,other,,"substituent, consisting of an alkane missing one hydrogen atom, attached to a larger structure",
alkyne,,,other,,molecule consisting of carbon and hydrogen containing at least one carbon-carbon triple bond,
allotropes,,,other,,"two or more forms of the same element, in the same physical state, with different chemical structures",
alpha (α) decay,,,other,,loss of an alpha particle during radioactive decay,
alpha particle,,,other,,(α or 24He or 24α) high-energy helium nucleus; a helium atom that has lost two electrons and contains two protons and two neutrons,
amide,,,other,,organic molecule that features a nitrogen atom connected to the carbon atom in a carbonyl group,
amine,,,other,,organic molecule in which a nitrogen atom is bonded to one or more alkyl group,
amorphous,,,other,,solid material such as a glass that does not have a regular repeating component to its three-dimensional structure; a solid but not a crystal,
amphiphilic,,,other,,molecules possessing both hydrophobic (nonpolar) and a hydrophilic (polar) parts,
amphiprotic,,,other,,species that may either donate or accept a proton in a Brønsted-Lowry acid-base reaction,
amphoteric,,,other,,species that can act as either an acid or a base,
antibonding orbital,,,other,,molecular orbital located outside of the region between two nuclei; electrons in an antibonding orbital destabilize the molecule,
antimatter,,,other,,particles with the same mass but opposite properties (such as charge) of ordinary particles,
aromatic hydrocarbon,,,other,,"cyclic molecule consisting of carbon and hydrogen with delocalized alternating carbon-carbon single and double bonds, resulting in enhanced stability",
axial position,,,other,,location in a trigonal bipyramidal geometry in which there is another atom at a 180° angle and the equatorial positions are at a 90° angle,
band of stability,,,other,,"(also, belt of stability, zone of stability, or valley of stability) region of graph of number of protons versus number of neutrons containing stable (nonradioactive) nuclides",
bar,,,other,,"(bar or b) unit of pressure; 1 bar = 100,000 Pa",
