english,icelandic,alternatives,category,notes,definition_en,definition_is
base-e2e-1773682162359-cgk87,basi-e2e-1773682162359-cgk87,,other,,,
base-e2e-1773682200536-rsz16,basi-e2e-1773682200536-rsz16,,other,,,
base-e2e-1773682253353-lxzty,basi-e2e-1773682253353-lxzty,,other,,,
base-e2e-1773682357406-t655w,basi-e2e-1773682357406-t655w,,other,,,
base-e2e-1773682407915-c2cnc,basi-e2e-1773682407915-c2cnc,,other,,,
base-e2e-1773682468127-hh33w,basi-e2e-1773682468127-hh33w,,other,,,
base-e2e-1773682515372-g30o2,basi-e2e-1773682515372-g30o2,,other,,,
base-e2e-1773682582965-0uvhi,basi-e2e-1773682582965-0uvhi,,other,,,
base-e2e-1773682642570-em41h,basi-e2e-1773682642570-em41h,,other,,,
base-e2e-1773682697187-kdihf,basi-e2e-1773682697187-kdihf,,other,,,
base-e2e-1773737292825-o3day,basi-e2e-1773737292825-o3day,,other,,,
base-e2e-1773738081133-ckb1h,basi-e2e-1773738081133-ckb1h,,other,,,
base-e2e-1773738241278-109v9,basi-e2e-1773738241278-109v9,,other,,,
